pair,scope,air_var,alt,noise_var,best_lag_min,N,Neff,pearson_r,r2,r_CI95_lo,r_CI95_hi,p_adj,q_BH,decision,rev_max_abs_r,rev_max_lag,rev_noise_var
AIRQ002_NOISE102,ALL,CO2,greater,voice_rate_time,10,3196,1450.6,0.121,0.015,0.07,0.171,1.963409985638744e-06,2.1597509842026185e-05,Reject H0,0.09982494122150752,-4,voice_rate_time
AIRQ002_NOISE102,ALL,HUM,two-sided,voice_rate_time,8,3250,1495.3,0.036,0.001,-0.015,0.087,0.16296206192668003,0.3813260220485856,Fail to reject H0,0.03816951600985461,-4,voice_rate_time
AIRQ002_NOISE102,ALL,PM10,greater,voice_rate_time,8,1921,1079.0,0.044,0.002,-0.016,0.103,0.07474188525537581,0.32517802352656455,Fail to reject H0,0.04699673064233752,-10,voice_rate_time
AIRQ002_NOISE102,ALL,PM25,greater,voice_rate_time,8,1920,1077.8,0.045,0.002,-0.015,0.105,0.06894538650085992,0.323242956578586,Fail to reject H0,0.050271706114795464,-10,voice_rate_time
AIRQ002_NOISE102,ALL,TEMP,two-sided,voice_rate_time,2,3255,1463.0,-0.185,0.034,-0.234,-0.135,1.0040880504144449e-12,3.2521128288509413e-12,Reject H0,-0.18131845774960695,-1,voice_rate_time
AIRQ002_NOISE102,ALL,dCO2_mean3,greater,voice_rate_time,6,3142,1589.7,0.156,0.024,0.108,0.204,1.8097608011387495e-10,2.4429121957571632e-09,Reject H0,0.16494793785601494,-4,voice_rate_time
AIRQ002_NOISE102,OCCUPIED,CO2,greater,voice_rate_time,10,2698,1090.6,0.168,0.028,0.109,0.225,1.2601102252028237e-08,1.386121247723106e-07,Reject H0,0.11819122854438034,-1,voice_rate_time
AIRQ002_NOISE102,OCCUPIED,HUM,two-sided,voice_rate_time,8,2711,1123.6,0.011,0.0,-0.047,0.07,0.708921319352424,0.9944422824132123,Fail to reject H0,0.03906869357972089,-8,voice_rate_time
AIRQ002_NOISE102,OCCUPIED,PM10,greater,voice_rate_time,0,1610,720.9,0.017,0.0,-0.056,0.09,0.32338483384338346,0.6761488731622355,Fail to reject H0,0.034846677089054284,-10,voice_rate_time
AIRQ002_NOISE102,OCCUPIED,PM25,greater,voice_rate_time,0,1609,720.0,0.017,0.0,-0.056,0.09,0.3235687272512962,0.6869434083117965,Fail to reject H0,0.03644534529029405,-10,voice_rate_time
AIRQ002_NOISE102,OCCUPIED,TEMP,two-sided,voice_rate_time,2,2716,1108.9,-0.191,0.037,-0.247,-0.134,1.3641833353979508e-10,6.273031559418116e-10,Reject H0,-0.18974942150442126,-2,voice_rate_time
AIRQ002_NOISE102,OCCUPIED,dCO2_mean3,greater,voice_rate_time,6,2623,1231.2,0.155,0.024,0.1,0.209,2.3062959301371573e-08,1.920840110993631e-07,Reject H0,0.18899304105074885,-5,voice_rate_time
